SN,time,DL,Flux(Jy),Luminosity(erg/s/Hz),logl,logrt,freqtime,logt,freq,vlum,logvlum
,1479,2.16E+26,0.00172,1.01E+28,28.00369247,3.169968174,2366.4,3.374088157,8,8.07E+37,37.90678246
,1615,2.16E+26,0.00121,7.09E+27,27.85094939,3.208172527,2584,3.412292509,8,5.68E+37,37.75403938
,1726,2.16E+26,0.00128,7.51E+27,27.87537399,3.237040791,2761.6,3.441160774,8,6.00E+37,37.77846398
,1905,2.16E+26,0.00098,5.75E+27,27.7593901,3.27989498,3048,3.484014963,8,4.60E+37,37.66248009
,1980,2.16E+26,0.00097,5.69E+27,27.75493576,3.29666519,3168,3.500785173,8,4.55E+37,37.65802574
,2129,2.16E+26,0.00091,5.34E+27,27.72720542,3.328175661,3406.4,3.532295644,8,4.27E+37,37.6302954
,2360,2.16E+26,0.00062,3.64E+27,27.56055571,3.372912003,3776,3.577031986,8,2.91E+37,37.4636457
,2497,2.16E+26,0.0004,2.35E+27,27.37022401,3.397418542,3995.2,3.601538525,8,1.88E+37,37.273314
,2865,2.16E+26,0.00036,2.11E+27,27.32446652,3.457124626,4584,3.661244609,8,1.69E+37,37.22755651
,2975,2.16E+26,0.0003,1.76E+27,27.24528528,3.47348697,4760,3.677606953,8,1.41E+37,37.14837527
,3361,2.16E+26,0.0003,1.76E+27,27.24528528,3.526468512,5377.6,3.730588495,8,1.41E+37,37.14837527
,3609,2.16E+26,0.0002,1.17E+27,27.06919402,3.557386882,5774.4,3.761506865,8,9.38E+36,36.97228401
,3956,2.16E+26,0.00017,9.97E+26,26.99861294,3.597256283,6329.6,3.801376266,8,7.97E+36,36.90170293
Snr(8.5GHz),0,,0,0,0,0,,0,,,
97eg,(35Mpc),1.08E+26,0.00052,7.62E+26,26.88210738,2.315970345,351.9,,8.5,6.48E+36,36.8115263
Z,0.0087,1.08E+26,0.00053,7.77E+26,26.8903799,2.334453751,367.2,,8.5,6.60E+36,36.81979883
,,,,0,0,0,,0,,,
01em,(83.14Mpc),2.57E+26,0.001146,9.48E+27,27.9767726,2.895941621,1259.104,,8,7.58E+37,37.87986259
Z,0.01951,2.57E+26,0.001473,1.22E+28,28.08579073,2.935756586,1379.992,,8,9.75E+37,37.98888072
8Ghz,1010.32,2.57E+26,0.001804,1.49E+28,28.17382452,3.00445895,1616.512,3.208578933,8,1.19E+38,38.0769145
,1181.87,2.57E+26,0.001491,1.23E+28,28.09106563,3.072569709,1890.992,3.276689692,8,9.87E+37,37.99415561
,1250.49,2.57E+26,0.001426,1.18E+28,28.07170751,3.097080223,2000.784,3.301200206,8,9.44E+37,37.9747975
,1677.905,2.57E+26,0.001041,8.61E+27,27.93503871,3.224767368,2684.648,3.428887351,8,6.89E+37,37.8381287
,1958.955,2.57E+26,0.000771,6.38E+27,27.80464236,3.29202446,3134.328,3.496144442,8,5.10E+37,37.70773235
SN2000ft,(70Mpc),,,,0,0,0,,,,
Z=,0.016,2.16E+26,0.001777,1.04E+28,28.01785145,2.705726905,507.84,,5,5.21E+37,37.71682146
5Ghz,640,2.16E+26,0.001476,8.65E+27,27.93725038,2.806179974,640,2.806179974,5,4.33E+37,37.63622039
,676.64,2.16E+26,0.001298,7.61E+27,27.88143872,2.830357668,676.64,2.830357668,5,3.81E+37,37.58040872
,832.48,2.16E+26,0.0008192,4.80E+27,27.68155397,2.920373809,832.48,2.920373809,5,2.40E+37,37.38052397
,859.36,2.16E+26,0.0008653,5.07E+27,27.70533073,2.934175135,859.36,2.934175135,5,2.54E+37,37.40430073
,923.2,2.16E+26,0.0007067,4.14E+27,27.61739911,2.965295796,923.2,2.965295796,5,2.07E+37,37.31636912
,,0,,0,0,0,0,0,,,
8Ghz,200,2.16E+26,0.001751,1.03E+28,28.01145017,2.301029996,320,2.505149978,8,8.21E+37,37.91454016
,671.4,2.16E+26,0.0004071,2.39E+27,27.37786513,2.826981337,1074.24,3.03110132,8,1.91E+37,37.28095511
,1163,2.16E+26,0.0001142,6.70E+26,26.82583013,3.065579715,1860.8,3.269699697,8,5.36E+36,36.72892011
,1691,2.16E+26,7.34E-05,4.30E+26,26.63362335,3.228143608,2705.6,3.43226359,8,3.44E+36,36.53671333
,2148,2.16E+26,3.52E-05,2.06E+26,26.31408935,3.332034277,3436.8,3.53615426,8,1.65E+36,36.21717934
96cr,(3.8Mpc),,,,0,0,0,,,,
Z,0.001449,1.17E+25,0.0018,3.11E+25,25.49280764,3.020361283,1048,,5,1.56E+35,35.19177765
5Ghz,1657.6,1.17E+25,0.119,2.06E+27,27.3130821,3.219479738,1657.6,3.219479738,5,1.03E+37,37.0120521
,5078.4,1.17E+25,0.227,3.92E+27,27.59356099,3.705726905,5078.4,3.705726905,5,1.96E+37,37.292531
,5312,1.17E+25,0.24,4.15E+27,27.61774638,3.725258066,5312,3.725258066,5,2.07E+37,37.31671638
,6256,1.17E+25,0.246,4.25E+27,27.62847024,3.79629674,6256,3.79629674,5,2.13E+37,37.32744025
,6608,1.17E+25,0.261,4.51E+27,27.65417564,3.820070034,6608,3.820070034,5,2.25E+37,37.35314565
