F_peak,nu_peak,Radius,Bfield,v_shock,Mdot,den,RuledOut,,
0.00152641796717523,1.1114982412631,6.18113404898896E+016,0.111431997860462,3996.63993556171,0.480483794428581,6.31101306426994E-022,True,,
0.00152641796717523,1.27977396134977,5.36838522422866E+016,0.12830228967429,3471.12724082422,0.553226830355982,9.63324373237927E-022,True,,
0.00152641796717523,1.4735258512759,4.6625036259213E+016,0.147726666054027,3014.71348839399,0.636982827255831,1.47043563152819E-021,True,,
0.00152641796717523,1.69661088594766,4.04943742926957E+016,0.170091803652441,2618.31295327179,0.733419096752317,2.24449936753929E-021,True,,
0.00152641796717523,1.95346996852731,3.51698246461506E+016,0.195842920188558,2274.03457995705,0.844455373778776,3.42604416192543E-021,True,,
0.00152641796717523,2.24921633448472,3.05453927180224E+016,0.225492637295762,1975.02489699658,0.972302032305378,5.22957536509879E-021,True,,
0.00152641796717523,2.5897373396156,2.65290209913042E+016,0.259631185164328,1715.33158648362,1.11950408675217,7.98251779798376E-021,True,,
0.00152641796717523,2.98181165829732,2.30407564654361E+016,0.29893815211988,1489.78499261598,1.2889918550136,1.21846585901385E-020,True,,
0.00152641796717523,3.4332442250215,2.00111590500663E+016,0.344196013033979,1293.89521053105,1.48413929163192,1.85988817958835E-020,True,,
0.00152641796717523,3.95302160545385,1.73799192369299E+016,0.39630570587383,1123.76270678862,1.70883115234461,2.83896673426049E-020,True,,
0.00152641796717523,4.55149088995761,1.50946575321535E+016,0.456304566469948,976.000692243521,1.96754032703529,4.33344983138801E-020,True,,
0.00152641796717523,5.24056567077343,1.31098817495569E+016,0.525386978525147,847.667702002692,2.26541688053769,6.61465568248313E-020,True,,
0.00152641796717523,6.03396320319664,1.13860814080254E+016,0.604928149939878,736.209040351009,2.60839057380757,1.009672928042E-019,True,,
0.00152641796717523,6.94747747186569,9.88894120532889E+015,0.696511488763834,639.405925003421,3.00328890632851,1.54118289833374E-019,True,,
0.00152641796717523,7.99929359803029,8588657911186556,0.801960123740693,555.331318309475,3.4579730295948,2.35248926671981E-019,True,,
0.00152641796717523,9.21034984663358,7459347081125053,0.923373196918303,482.311566152112,3.98149423727039,3.59088188430802E-019,True,,
0.00152641796717523,10.604754439601,6478527780716064,1.06316765079309,418.893080894937,4.58427414723789,5.48118662621182E-019,True,,
0.00152641796717523,12.2102654727432,5626675062716013,1.22412634183587,363.813405142998,5.27831216238088,8.36658174769031E-019,True,,
0.00152641796717523,14.0588434898712,4886831288371959,1.40945343818413,315.976080289903,6.07742433997418,1.27709007035149E-018,True,,
0.00152641796717523,16.1872877140882,4244268555555024,1.62283820429005,274.428819565151,6.99751842480084,1.94937322908559E-018,True,,
0.00152641796717523,18.6379686015747,3686195513754760,1.86852844227076,238.344551077492,8.05691052101773,2.97555832160665E-018,True,,
0.00152641796717523,21.4596713006439,3201502729567220,2.15141505194117,207.004953482462,9.27668970668467,4.54194568447818E-018,True,,
0.00152641796717523,24.7085668066192,2780541533725130,2.47712939284673,179.786156522388,10.6811378492557,6.9329074987215E-018,True,,
0.00152641796717523,28.4493301450915,2414931947228310,2.85215538646004,156.146321782735,12.2982129792046,1.05825145708124E-017,True,,
0.00152641796717523,32.7564278429775,2.09739586300329E+015,3.28395859013423,135.614856437744,14.160105844193,1.61533403787818E-017,True,,
0.00152641796717523,37.7156003167731,1821612162277389,3.78113481225912,117.783045265837,16.3038807229794,2.46567489840697E-017,True,,
0.00152641796717523,43.4255686875676,1.58209088150171E+015,4.35358122706822,102.29591444845,18.7722132556056,3.76365046614136E-017,True,,
0.00152641796717523,50,1374063924892540,5.01269339544034,88.8451651867741,21.6142399776793,5.74490369368562E-017,True,,
0.00175751062485479,0.05,1.46895337633783E+018,0.00493885707551995,94980.5922476359,0.0209821797274103,4.87967882500147E-026,True,,
0.00175751062485479,0.0575697699663224,1.27580271485986E+018,0.00568657731468455,82491.7246527113,0.0241587852059809,7.44842943252679E-026,True,,
0.00175751062485479,0.0662855682795055,1.10804916851864E+018,0.00654749895804193,71645.0011012447,0.0278163141394822,1.13694165130457E-025,True,,
0.00175751062485479,0.0763208983587617,9.62353305534168E+017,0.00753876017738418,62224.4983288592,0.032027576126419,1.73544816418118E-025,True,,
0.00175751062485479,0.0878755312427396,8.35814791423636E+017,0.00868009378486558,54042.6845245862,0.0368764038035364,2.64901925890742E-025,True,,
